user_id,age,gender,premium_user,listening_time,mood,genre,danceability,energy,valence,acousticness,speechiness,instrumentalness,liveness,tempo,loudness_db,duration_sec,popularity,previous_skips,repeat_count,skip
U001,36,Male,Yes,Night,Focus,EDM,0.77,0.32,0.23,0.1,0.59,0.55,0.59,68,-44,143,28,7,0,0
U001,36,Male,Yes,Morning,Relaxed,Classical,0.63,0.83,0.11,0.81,0.56,0.34,0.16,146,-39,143,49,3,11,0
U001,36,Male,Yes,Afternoon,Relaxed,Rock,0.58,0.98,0.44,0.55,0.66,0.62,0.86,109,0,137,6,21,7,1
U001,36,Male,Yes,Night,Sad,Bollywood,0.44,0.51,0.85,0.16,0.28,0.67,0.7,78,-7,282,22,17,7,1
U001,36,Male,Yes,Night,Sad,Bollywood,0.93,0.72,0.3,0.32,0.61,0.06,0.82,140,-20,188,9,6,10,0
U001,36,Male,Yes,Morning,Happy,Pop,0.68,0.23,0.23,0.74,0.43,0.75,0.43,162,-22,176,18,16,15,0
U001,36,Male,Yes,Evening,Relaxed,Rock,0.24,0.71,0.64,0.38,0.48,0.47,0.25,62,-2,304,15,21,8,1
U001,36,Male,Yes,Morning,Relaxed,Hip-Hop,0.51,0.96,0.89,0.26,0.4,0.18,0.91,136,-5,249,78,6,4,0
U001,36,Male,Yes,Afternoon,Sad,Bollywood,0.54,0.2,0.43,0.99,0.65,0.24,0.24,80,-40,307,63,2,4,0
U001,36,Male,Yes,Morning,Sad,EDM,0.89,0.48,0.29,0.54,0.58,0.2,0.31,155,-17,350,67,14,3,0
U001,36,Male,Yes,Night,Sad,Hip-Hop,0.63,0.31,0.3,0.07,0.5,0.23,0.91,144,-41,251,31,8,15,0
U001,36,Male,Yes,Morning,Gym,Jazz,0.53,0.47,0.18,0.66,0.28,0.41,0.86,73,-2,287,83,3,1,0
U001,36,Male,Yes,Afternoon,Happy,EDM,0.27,0.5,0.48,0.28,0.2,0.92,0.44,200,-39,132,84,17,0,1
U001,36,Male,Yes,Evening,Sad,EDM,0.53,0.88,0.91,0.16,0.0,0.39,0.93,176,-27,228,90,23,15,0
U001,36,Male,Yes,Afternoon,Happy,Rock,0.15,0.76,0.15,0.31,0.04,0.48,0.92,195,-35,134,66,2,5,0
U001,36,Male,Yes,Night,Sad,Classical,0.95,0.61,0.62,0.04,0.07,0.66,0.57,140,-29,172,86,22,10,0
U001,36,Male,Yes,Morning,Sad,Jazz,0.68,0.51,0.94,0.94,0.01,0.62,0.56,85,-41,257,28,16,8,1
U001,36,Male,Yes,Morning,Sad,Classical,0.43,0.24,0.85,0.7,0.49,0.99,0.65,62,-3,329,71,9,3,0
U001,36,Male,Yes,Morning,Relaxed,Pop,0.77,0.24,0.35,0.21,0.27,0.69,0.85,189,-14,184,7,2,13,0
U001,36,Male,Yes,Morning,Gym,Hip-Hop,0.22,0.98,0.25,0.44,0.56,0.56,0.11,98,-11,129,48,18,4,0
U002,44,Male,No,Afternoon,Gym,Pop,0.29,0.32,0.19,0.78,0.71,0.41,0.62,99,-30,341,21,25,5,1
U002,44,Male,No,Evening,Sad,Bollywood,0.4,0.94,0.82,0.86,0.65,0.27,0.79,87,-21,343,5,15,7,1
U002,44,Male,No,Evening,Happy,Rock,0.82,0.3,0.12,0.19,0.26,0.86,0.97,131,-23,284,66,12,10,0
U002,44,Male,No,Morning,Happy,Lo-fi,0.97,0.34,0.2,0.43,0.58,0.31,0.61,190,-38,218,74,6,8,0
U002,44,Male,No,Night,Focus,Classical,0.83,0.72,0.95,0.74,0.16,0.43,0.95,144,-6,200,85,3,9,0
U002,44,Male,No,Evening,Sad,Lo-fi,0.73,0.6,0.27,0.66,0.3,0.75,0.17,137,-20,260,1,9,9,0
U002,44,Male,No,Afternoon,Sad,Classical,0.5,0.29,0.53,0.9,0.64,0.17,0.08,191,-3,282,80,10,2,0
U002,44,Male,No,Morning,Sad,Hip-Hop,0.23,0.14,0.99,0.61,0.61,0.46,0.89,109,0,298,50,15,12,1
U002,44,Male,No,Night,Focus,Jazz,0.87,0.9,0.8,0.22,0.64,0.7,0.46,123,-38,236,18,25,14,0
U002,44,Male,No,Night,Sad,Classical,0.75,0.55,0.85,0.55,0.72,0.74,0.47,126,-30,335,82,8,15,0
U002,44,Male,No,Afternoon,Gym,Pop,0.36,0.34,0.39,0.54,0.11,0.23,0.69,114,-41,226,53,10,14,0
U002,44,Male,No,Evening,Gym,EDM,0.45,0.79,0.95,0.02,0.7,0.58,0.48,150,-26,312,50,13,7,1
U002,44,Male,No,Afternoon,Happy,Lo-fi,0.13,0.4,0.71,0.4,0.13,0.47,0.13,196,-44,352,51,18,0,1
U002,44,Male,No,Evening,Focus,Pop,0.26,0.33,0.39,0.45,0.27,0.88,0.28,167,-29,333,11,15,0,1
U002,44,Male,No,Evening,Gym,Classical,0.16,0.96,0.14,0.03,0.2,0.84,0.62,121,-37,241,86,3,6,0
U002,44,Male,No,Morning,Happy,EDM,0.65,0.77,0.2,0.82,0.77,0.11,0.03,139,-9,293,49,12,6,0
U002,44,Male,No,Morning,Gym,Bollywood,0.37,0.72,0.82,0.8,0.45,0.04,0.53,154,-41,249,83,10,0,0
U002,44,Male,No,Morning,Relaxed,EDM,0.43,0.9,0.51,0.15,0.14,0.52,0.65,197,-15,239,56,23,8,1
U002,44,Male,No,Morning,Focus,Classical,0.51,0.78,0.61,0.67,0.27,0.49,0.33,184,-32,210,34,10,8,1
U002,44,Male,No,Evening,Sad,Classical,0.27,0.32,0.47,0.56,0.19,0.48,0.71,174,-44,143,38,7,12,0
U003,32,Female,No,Night,Sad,EDM,1.0,0.6,0.42,0.45,0.25,0.23,0.72,140,-38,310,69,24,5,0
U003,32,Female,No,Evening,Happy,Pop,0.63,0.78,0.64,0.98,0.67,0.3,0.36,137,-45,301,69,4,8,0
U003,32,Female,No,Morning,Gym,Bollywood,0.21,0.88,0.54,0.87,0.46,0.47,0.44,107,-42,184,62,3,2,1
U003,32,Female,No,Evening,Gym,Bollywood,0.72,0.24,0.83,0.95,0.07,0.25,0.56,166,-7,272,80,7,12,0
U003,32,Female,No,Afternoon,Sad,Rock,0.99,0.37,0.66,0.61,0.59,0.95,0.21,114,-29,289,11,5,7,0
U003,32,Female,No,Afternoon,Gym,Rock,0.51,0.63,0.36,0.23,0.57,0.7,0.45,119,-29,321,81,18,6,1
U003,32,Female,No,Night,Gym,Classical,0.92,0.84,0.16,0.17,0.25,0.75,0.57,133,-17,151,60,22,9,0
U003,32,Female,No,Night,Sad,Bollywood,0.64,0.9,0.76,0.6,0.02,0.23,0.67,65,-2,330,35,18,1,1
U003,32,Female,No,Morning,Relaxed,Lo-fi,0.26,0.63,0.67,0.49,0.07,0.35,0.33,86,-35,204,53,22,15,0
U003,32,Female,No,Night,Focus,Bollywood,0.38,0.39,0.97,0.4,0.41,0.99,0.66,198,-16,225,7,6,11,0
U003,32,Female,No,Morning,Focus,Lo-fi,0.28,0.59,0.93,0.44,0.56,0.12,0.97,121,0,160,40,17,0,1
U003,32,Female,No,Night,Gym,Hip-Hop,0.86,0.2,0.95,0.65,0.12,0.93,0.29,129,-19,333,62,15,7,1
U003,32,Female,No,Afternoon,Focus,Bollywood,0.64,0.77,0.22,0.07,0.62,0.85,0.34,189,-28,330,1,9,9,0
U003,32,Female,No,Night,Happy,Jazz,0.54,0.4,0.79,0.38,0.75,0.87,0.98,121,-9,218,30,24,13,1
U003,32,Female,No,Morning,Focus,Bollywood,0.83,0.45,0.7,0.82,0.78,0.5,0.04,188,-8,204,13,14,3,1
U003,32,Female,No,Morning,Relaxed,Bollywood,0.47,0.69,0.24,0.47,0.78,0.34,0.69,80,-24,338,87,17,12,0
U003,32,Female,No,Morning,Happy,Jazz,0.31,0.72,0.36,0.23,0.07,0.98,0.76,85,-17,162,89,9,0,0
U003,32,Female,No,Evening,Sad,Bollywood,0.44,0.23,0.58,0.57,0.63,0.17,0.08,157,-6,294,31,15,4,1
U003,32,Female,No,Night,Relaxed,EDM,0.7,0.91,0.52,0.29,0.44,0.07,0.95,136,-5,228,89,8,14,0
U003,32,Female,No,Evening,Focus,Bollywood,0.2,0.44,0.42,0.3,0.56,0.02,0.83,161,-28,122,73,21,1,1
U004,23,Other,No,Afternoon,Happy,Jazz,0.3,0.27,0.33,0.76,0.61,0.68,0.14,84,-5,285,6,9,14,0
